Song Title,Song MD5 hash,Song difficulty,Song-wise discrimination,Song-wise EASY-clear difficulty,Song-wise HARD-clear difficulty
Pumpkin ◇ Magic [EXTRA],b7806afd42bfcd2a91dcfeb3b2b80361,st0,3.7519369514678838,0.43392189422368815,1.4166453568962414
Pumpkin ◇ Magic [DESPERATE],334c1db25269dd7b042d770d58c3dd79,st6,5.451059888896554,2.1195280003873633,2.7392478903382442
PukaPuka [BiriBiri],10ecfb1f353c5884b58cd100b15a8b94,st3,3.0607975548082726,1.0198137649226255,2.370356962475961
Puckish Angel [Gachimuchi],b46b00719a28bca638f655482e3c524e,st1,3.9510152965066903,0.7419892374004214,1.2846405137533348
Puckish Angel [EXTRA],54d3aeeb3f87522b0de5c036de34d4de,st10,3.945725933846369,3.4343003127829115,4.070740758287326
Puckish Angel [Bivdu],af0a6d6760d31da7492658fd33d712bb,st6,3.1438350481065114,2.081624634386211,2.9496238944130657
Psychedelic Ritual -Despair-,0f5b2b2df091b511e311873204203dcc,sl12,4.128229424590219,0.398207901732154,1.0579483537792667
Psalms ～魂の還るばしょ～ [SP INSANE],49621b1c35f5a086fe2377c5e4a6af0e,sl7,2.6531829943660172,-1.0827716748420126,0.11439023155095329
Psalms ～魂の還るばしょ～ [SP ANOTHER],5218c51ab40bf345c74cd399f7b88fdb,sl1,2.161525024306532,-2.2755284270497826,-1.3021663427324879
Psalms ～魂の還るばしょ～ [NIRVANA],b0279420063b1f5bc8f16c36cf990f0f,st5,4.587887013024655,1.792717268721216,2.6712706799456876
Psalms ～魂の還るばしょ～ [ANGELUS],4709c903d17c408695c131d230c20dc5,st2,4.327955140796879,1.1724230383271088,1.8341665075765328
Prog-M -PragMaTiC-,6db26f984b34fc62a271ec1d8e5ac8e8,sl8,3.16881658820186,-0.3049509221708361,0.47081697220459245
Prog-M -PoLYgLoT-,941dd04846cbeb1c92c7ad7cd272819e,st9,5.331817419062942,2.8157338460124826,3.7822751922150752
Problem Bonker [SP ANOTHER],30110f5a1c72a79e7933f923b8eae9b2,sl1,2.46545678789763,-2.119429927907236,-1.140825960422231
Problem Bonker [Hardboiled Shot],0aa7b30918952be4b610623b98a12bb9,st4,5.317684341757234,1.9599349977934803,2.555060602193329
Prismrose [SP CATACLYSM],9971d0309c48ff36bc5ae0cbc57b6dda,st1,3.57576923679383,0.6631492771611994,1.470171782766271
Prismrose [SP ANOTHER],e26844aabaa0348d3bece720d7bc4825,sl0,2.17344133592964,-2.4919514602604464,-1.6061995867186878
Prismrose [Blossom],4de642df5814292d66db1f011f63a676,sl2,2.286245183360675,-1.5747410403181599,-0.8601107435083515
Princess × Pegasus [微縦乱舞],7a8cef929dd3003230cf03ee3952f978,st4,4.897405603033048,1.9491842877003032,2.614539140801115
Princess × Pegasus [ANOTHER],97a569396ff351c00deafaa5256c5985,sl1,2.224128309124136,-2.032501879752675,-0.922228005665477
